StockCode,Description,Total_Demand,Avg_Daily_Demand,Daily_Std,Safety_Stock,Reorder_Point,Recommended_Order_Qty,Forecast_Adj_Demand,Forecast_Reorder_Point,Total_Revenue
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,109169,147.93,533.2350825828009,2328,3364,4399,125.59,3207,24905.87
85099B,JUMBO BAG RED WHITE SPOTTY ,94983,128.7,186.45950406345048,814,1715,2616,109.27,1579,170616.68
85123A,WHITE HANGING HEART T-LIGHT HOLDER,93697,126.96,217.31257529525013,949,1838,2726,107.79,1704,252227.81
21212,PACK OF 72 RETRO SPOT CAKE CASES,91263,123.66,193.70795809940392,846,1712,2577,104.99,1581,44067.34
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,109.75,0.0,0,768,1536,93.18,652,168469.6
84879,ASSORTED COLOUR BIRD ORNAMENT,79913,108.28,243.37255104135895,1062,1820,2578,91.93,1706,127074.17
22197,"POPCORN HOLDER , SMALL ",77971,105.65,330.7728160163503,1444,2184,2923,89.7,2072,59101.69
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916,105.58,6917.726160648075,30199,30938,31677,89.64,30826,81416.73000000001
17003,BROCADE RING PURSE ,71129,96.38,877.7885959317059,3832,4507,5181,81.83,4405,14827.71
21977,PACK OF 60 PINK PAISLEY CAKE CASES,55270,74.89,181.65684828598765,793,1317,1841,63.58,1238,26733.45
84991,60 TEATIME FAIRY CAKE CASES,53495,72.49,138.28717773459388,604,1111,1619,61.54,1035,26121.57
22492,MINI PAINT SET VINTAGE ,44809,60.72,221.36569840483165,966,1391,1816,51.55,1327,27835.09
15036,ASSORTED COLOURS SILK FAN,41078,55.66,231.65879315587782,1011,1401,1790,47.25,1342,28829.32
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,39643,53.72,129.17235849899865,564,940,1316,45.61,883,23848.11
21213,PACK OF 72 SKULL CAKE CASES,38927,52.75,133.27157497983026,582,951,1320,44.78,895,18517.13
20725,LUNCH BAG RED SPOTTY,38314,51.92,63.83118279751681,279,642,1006,44.08,588,60271.7
22616,PACK OF 12 LONDON TISSUES ,38084,51.6,230.27598153544284,1005,1366,1727,43.81,1312,10809.66
22178,VICTORIAN GLASS HANGING T-LIGHT,37851,51.29,107.00503360039632,467,826,1185,43.54,772,46440.909999999996
22386,JUMBO BAG PINK WITH WHITE SPOTS,37711,51.1,96.42591748549088,421,779,1136,43.38,725,68439.19
21915,RED  HARMONICA IN BOX ,37097,50.27,260.52188834601805,1137,1489,1841,42.68,1436,41939.65
85099F,JUMBO BAG STRAWBERRY,36098,48.91,113.00560918064474,493,835,1178,41.52,784,64601.65
21232,STRAWBERRY CERAMIC TRINKET BOX,35764,48.46,87.03047311907379,380,719,1058,41.14,668,41989.92
84568,GIRLS ALPHABET IRON ON PATCHES ,34657,46.96,576.778003655796,2518,2847,3175,39.87,2797,6644.37
84992,72 SWEETHEART FAIRY CAKE CASES,34541,46.8,135.7873911200162,593,921,1248,39.73,871,16475.22
84946,ANTIQUE SILVER TEA GLASS ETCHED,32481,44.01,73.24485114100325,320,628,936,37.36,582,37794.78
71459,HANGING JAM JAR T-LIGHT HOLDER,32244,43.69,112.30835308373918,490,796,1102,37.09,750,25106.76
21982,PACK OF 12 SUKI TISSUES ,32050,43.43,676.7496090978212,2954,3258,3562,36.87,3212,9941.4
21980,PACK OF 12 RED SPOTTY TISSUES ,31276,42.38,576.2595725223096,2516,2813,3109,35.98,2768,8517.179999999998
21975,PACK OF 60 DINOSAUR CAKE CASES,31105,42.15,112.57668057678981,491,786,1081,35.78,741,14941.21
22952,72 CAKE CASES VINTAGE CHRISTMAS,30764,41.69,196.86445633645812,859,1151,1443,35.39,1107,15338.359999999999
16014,SMALL CHINESE STYLE SCISSOR,30369,41.15,775.1661347017869,3384,3672,3960,34.94,3629,9838.98
21080,SET/20 RED SPOTTY PAPER NAPKINS ,30214,40.94,74.07210039405088,323,610,896,34.76,566,23091.0
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,29498,39.97,714.4764490580384,3119,3399,3679,33.93,3357,57779.17
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,29477,39.94,156.79884571192244,685,965,1244,33.91,922,79594.33
85099C,JUMBO  BAG BAROQUE BLACK WHITE,29447,39.9,74.47880569935215,325,604,884,33.87,562,53168.340000000004
21731,RED TOADSTOOL LED NIGHT LIGHT,27867,37.76,106.20272221051076,464,728,993,32.06,688,42913.71
22151,PLACE SETTING WHITE HEART,27416,37.15,119.7508451097572,523,783,1043,31.54,744,11049.33
23084,RABBIT NIGHT LIGHT,27202,36.86,468.2420361718324,2044,2302,2560,31.29,2263,51346.2
22469,HEART OF WICKER SMALL,27182,36.83,124.94874713914709,545,803,1061,31.27,764,45020.95
